timestamp,emotion,emotion_confidence,temporal_emotion,temporal_confidence,stress_level,cognitive_load,deception_risk,gaze,yaw,pitch,roll,blink_rate,anomaly_risk,fusion_confidence,final_state,cognitive_assessment
22:30:10,calm,30.850873762142644,disgust,68.09104084968567,LOW,LOW,LOW,CENTER,0.9048883085718553,8.344835162010813,0.06422175034279633,0.0,LOW,0.53,Stable emotional condition,Negative emotional trajectory
22:30:10,calm,47.48693465712151,disgust,68.90212893486023,LOW,LOW,LOW,CENTER,1.5989035327052563,7.90286358033805,0.05801590382853825,0.0,LOW,0.6,Stable emotional condition,Negative emotional trajectory
22:30:10,calm,37.40150763305679,disgust,70.01760005950928,LOW,LOW,LOW,CENTER,0.5832155921829941,5.681268034477192,0.06616422969058804,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:10,calm,44.6691415094259,disgust,70.91241478919983,LOW,LOW,LOW,CENTER,0.5629876739700119,6.223282409169847,0.038721073730557436,0.0,LOW,0.6,Stable emotional condition,Negative emotional trajectory
22:30:10,calm,43.95712677234421,disgust,71.72763347625732,LOW,LOW,LOW,CENTER,0.6495229361570531,4.976287847401692,0.020129049554722382,0.0,LOW,0.61,Stable emotional condition,Negative emotional trajectory
22:30:10,calm,46.080505819667536,disgust,72.33675718307495,LOW,LOW,LOW,CENTER,-0.37797362325495865,6.311436771406196,0.01633632903130466,0.0,LOW,0.62,Stable emotional condition,Negative emotional trajectory
22:30:10,calm,32.5101077462799,disgust,72.7367639541626,LOW,LOW,LOW,CENTER,0.003726523920347172,6.339658426229974,0.007878216849725233,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:11,calm,32.642401369648624,disgust,73.03047776222229,LOW,LOW,LOW,CENTER,-0.680891861836119,7.536419553268506,-0.00812613127225023,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:11,calm,29.33034784768002,disgust,73.22113513946533,LOW,LOW,LOW,CENTER,-0.09640822901131052,5.147030309797024,0.01916990879248655,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:11,calm,33.062824710609725,disgust,73.21972846984863,LOW,LOW,LOW,CENTER,-0.2329964042073373,7.059303483294077,0.013223561984504579,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:11,calm,32.83353184452712,disgust,73.19586873054504,LOW,LOW,LOW,CENTER,-0.18872087995946007,6.5329891348274645,0.005896158575712552,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:11,calm,32.063924001389864,disgust,73.06134700775146,LOW,LOW,LOW,CENTER,-0.2344883598079757,8.269033976808478,0.00572545470584428,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:11,calm,32.41686517786045,disgust,72.99191951751709,LOW,LOW,LOW,CENTER,-0.2593998414751461,5.69497957160365,0.019346503288547152,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:11,calm,32.83353184452712,disgust,72.8422224521637,LOW,LOW,LOW,CENTER,-0.6751841767163413,6.40538041009137,-0.008321415993327187,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:11,calm,29.4618293291615,disgust,72.60472178459167,LOW,LOW,LOW,CENTER,-0.19540315931026556,6.767066837606153,0.011293072861420252,0.0,LOW,0.55,Stable emotional condition,Negative emotional trajectory
22:30:12,calm,32.48059066805653,disgust,72.4083960056305,LOW,LOW,LOW,CENTER,-0.7177195093212502,6.482957281726676,-0.00630646941487737,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:12,calm,29.558759768003707,disgust,72.07950353622437,LOW,LOW,LOW,CENTER,0.6280029429723161,6.3168021989838055,0.01091014489713389,0.0,LOW,0.55,Stable emotional condition,Negative emotional trajectory
22:30:12,calm,45.93344699613812,disgust,71.76267504692078,LOW,LOW,LOW,CENTER,0.5293139267764635,7.3119486356064645,0.010923125442946859,0.0,LOW,0.61,Stable emotional condition,Negative emotional trajectory
22:30:12,calm,44.12003702452397,disgust,71.54508233070374,LOW,LOW,LOW,CENTER,1.2263747165322327,5.606658630012302,0.01807937010334639,0.0,LOW,0.61,Stable emotional condition,Negative emotional trajectory
22:30:12,calm,44.7120935019212,disgust,71.31483554840088,LOW,LOW,LOW,CENTER,-0.07502948036112263,6.954134306130042,0.0055749784746935566,0.0,LOW,0.61,Stable emotional condition,Negative emotional trajectory
22:30:12,calm,32.31282471060972,disgust,71.16860151290894,LOW,LOW,LOW,CENTER,-0.21870647810849256,5.908525196800445,-0.00454849061892309,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:12,calm,31.949272585267856,disgust,71.00949883460999,LOW,LOW,LOW,CENTER,-0.3821835951073302,5.763821181131732,-0.01318779356090498,0.0,LOW,0.55,Stable emotional condition,Negative emotional trajectory
22:30:12,calm,31.62584848702064,disgust,70.78129649162292,LOW,LOW,LOW,CENTER,0.8014701934444789,5.541845243365586,0.003179341176559811,0.0,LOW,0.55,Stable emotional condition,Negative emotional trajectory
22:30:13,calm,49.69596496648076,disgust,70.5405056476593,LOW,LOW,LOW,CENTER,1.296398820656097,7.110268221217151,0.02157210123288406,0.0,LOW,0.62,Stable emotional condition,Negative emotional trajectory
22:30:13,calm,44.291667436758296,disgust,70.5039918422699,LOW,LOW,LOW,CENTER,0.40395258307793863,7.140383583243941,0.004357558985837533,0.0,LOW,0.6,Stable emotional condition,Negative emotional trajectory
22:30:13,calm,37.46013351649398,disgust,70.64934372901917,LOW,LOW,LOW,CENTER,0.838490584612171,4.9921773219259515,0.013393920852848733,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:13,calm,48.95522422574002,disgust,71.94725275039673,LOW,LOW,LOW,CENTER,0.258915753509227,6.425399092230228,-0.0026439978994146733,0.0,LOW,0.63,Stable emotional condition,Negative emotional trajectory
22:30:13,calm,34.10149684694238,disgust,75.06617307662964,LOW,LOW,LOW,CENTER,0.2086622511980132,6.308402869891104,0.0111753458785391,0.0,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:13,calm,34.72286008168643,disgust,79.25794124603271,LOW,LOW,LOW,CENTER,0.5287061384726207,6.734067769761329,0.012081183693521439,0.0,LOW,0.61,Stable emotional condition,Negative emotional trajectory
22:30:13,calm,44.12003702452397,disgust,83.00687074661255,LOW,LOW,LOW,CENTER,0.05046673283318615,5.958484577588504,-0.00454849061892309,0.0,LOW,0.67,Stable emotional condition,Negative emotional trajectory
22:30:13,calm,31.84341342821882,disgust,85.68503856658936,LOW,LOW,LOW,CENTER,-1.0016778561698303,7.0351653198287245,-0.02360465351900391,0.0,LOW,0.64,Stable emotional condition,Negative emotional trajectory
22:30:14,calm,29.911878719401976,disgust,86.19365692138672,LOW,LOW,LOW,CENTER,-1.741060856554137,6.24170505441825,-0.0021071438012253297,0.0,LOW,0.64,Stable emotional condition,Negative emotional trajectory
22:30:14,calm,34.254132142516454,disgust,86.12468242645264,LOW,LOW,LOW,CENTER,-0.06617422353245316,7.546874521381604,0.010970589375719044,0.0,LOW,0.65,Stable emotional condition,Negative emotional trajectory
22:30:14,calm,32.72949137727639,disgust,85.09238362312317,LOW,LOW,LOW,CENTER,-1.1244647232269747,7.785944737062967,-0.023196915272981174,0.0,LOW,0.64,Stable emotional condition,Negative emotional trajectory
22:30:14,calm,29.98481765541412,disgust,82.5102150440216,MEDIUM,LOW,LOW,CENTER,-1.350163640585304,7.744110357926273,-0.010979197136459347,3.69,LOW,0.62,Stable emotional condition,Negative emotional trajectory
22:30:14,calm,31.550938155851526,disgust,79.47202324867249,MEDIUM,LOW,LOW,CENTER,-1.8793059946270914,6.991239048453,-0.035740918708817876,3.69,LOW,0.6,Stable emotional condition,Negative emotional trajectory
22:30:14,calm,29.211448830162794,disgust,76.07840299606323,MEDIUM,LOW,LOW,CENTER,-1.9045388833776196,7.156710976847529,-0.03329559596900679,3.69,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:14,calm,28.761448830162795,disgust,72.80365228652954,MEDIUM,LOW,LOW,CENTER,-2.1023002331524268,8.028589396076047,-0.024036929200864254,3.69,LOW,0.55,Stable emotional condition,Negative emotional trajectory
22:30:15,calm,31.487184124280443,disgust,69.86390352249146,MEDIUM,LOW,LOW,CENTER,-1.5688531127405476,7.470702293316373,-0.024527132277187582,3.69,LOW,0.55,Stable emotional condition,Negative emotional trajectory
22:30:15,calm,32.632775744906596,disgust,65.25534391403198,MEDIUM,LOW,LOW,CENTER,-2.279177442518721,6.8821279957876555,-0.02647390045047561,3.69,LOW,0.52,Stable emotional condition,Negative emotional trajectory
